ID_Info,SAP_Technologies,Programming_Languages,Databases,Web_Technologies,Communication_Skills,Business_Skills,Technical_Skills,Development_Tools,Other_Skills
101457,Data Loss Prevention; Networking; Firewall; Security,,,,,,,,Network Administration
108811,Litigation Management; Litigation; contracts; Legal,vetting,,,,,,,drafting
95500,SFDC; Salesforce; Salesforce developer; Java,,,,,,,,J2ee
64897,Intrusion Detection; Networking; LAN; Linux; WAN,Firewall,,,,,,,Unix; Technical Support
20795,Business Development Management; Concept Selling; Hotel Management; Target Achievement; Sales; restaurants,caterers,,,,,,,horeca; Bakery; B2B
23036,business analysis; trade lifecycle; business analyst; capital markets,derivatives,,,,,,,otc
55819,Outbound Calls; cold calls; inbound calls; voice process calls; Customer Care Executive,CRM,,,,,,,Customer Care
34339,CISA; DISA; CISSP; CEH; Certified Information Systems Auditor; ALIMS; IT Audit; technology internal audit,information Technology,,,,,,,CIA; internal audit; audit; Technology audit; information security audit; information system Audit
48408,KPO; HR Assistance; Communication Skills; HR; MS Office,Operations,,,,,,,hr generalist; onboarding
107414,WPF; WCF; C#; Java; SQL; Web Technologies,Web Services,,,,,,,.NET Framework; Oracle PL; Software Development
40072,sage crm; .net; customization; implementation,,,,,,,,
116848,TIBCO BW; Business Works; TIBCO EMS; Order Management,,,,,,,,TIBCO AMX
9516,quality_assurance; software; java; unix,,,,,,,,linux
11979,chartered accountant inter; compliance; internal audit; B.Com; audit; statutory audit,ca intermediate,,,,,,,CA Inter; tax; taxation
75898,home based; full time; good communication skill; computer operator; part time; business development; internet marketing,online work,,,,,,,internet surfing; online marketing; sales; marketing
68208,Stakeholder Management; Consulting; Industry Research; Secondary Research; Client Management; Report Writing,Project Management,,,,,,,Strategic Planning; Strategy; Business Development
36496,OBG,,,,,,,,
31265,Credit Policy; Credit Underwriting; Analytical Ability; Credit Management,,,,,,,,Quality Control
95832,Management Skills; Sales Management; Marketing; Business Development; Market Intelligence,Relationship Management,,,,,,,Key Account Management; Business Analytics
45456,HR MIS; Induction; HRIS; Bonus; Recruitment; ESI,Wage Administration,,,,,,,Gratuity; Performance Management; PF
67860,pharma operations; formulation manufacturing; formulation QA; operation excellence,operational excellence,,,,,,,Pharma QA
108354,Selling; Middle East; international business; Sales,Export Marketing,,,,,,,Business Development
47758,Marketing; branding; business development; clinical Research,,,,,,,,
109179,development; joomla; tracking; handling; magento; documentation,drupal,,,,,,,javascript; open source; multimedia
11350,ASST MANAGER - PROJECTS,,,,,,,,
125567,Fresher; International BPO,,,,,,,,
